"0","What was completed in ?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  """"    }","The Ojai Apartments"
"1","What were completed in ?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  """"    }","The Ojai Apartments"
"2","What was completed in ()?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""()""    }","Afghanistan–Pakistan barrier"
"3","What were completed in ()?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""()""    }","Afghanistan–Pakistan barrier"
"4","What was completed in (est. 2018–2020)?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""(est. 2018–2020)""    }","1001–1011 Jefferson Street"
"5","What were completed in (est. 2018–2020)?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""(est. 2018–2020)""    }","1001–1011 Jefferson Street"
"6","What was completed in .?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  "".""    }","Gateway Arch"
"7","What were completed in .?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  "".""    }","Gateway Arch"
"8","What was completed in 1100?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1100""    }","Reichenstein Castle (Trechtingshausen)"
"9","What were completed in 1100?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1100""    }","Reichenstein Castle (Trechtingshausen)"
"10","What was completed in 1600?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1600""    }","Fort of São Filipe de Setúbal"
"11","What were completed in 1600?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1600""    }","Fort of São Filipe de Setúbal"
"12","What was completed in 1665?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1665""    }","Navigation School, Copenhagen"
"13","What were completed in 1665?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1665""    }","Navigation School, Copenhagen"
"14","What was completed in 16th century?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""16th century""    }","Château de Tournon"
"15","What were completed in 16th century?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""16th century""    }","Château de Tournon"
"16","What was completed in 1784?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1784""    }","Portman Square"
"17","What were completed in 1784?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1784""    }","Portman Square"
"18","What was completed in 1825?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1825""    }","Perkins Manor (Contoocook, New Hampshire)"
"19","What were completed in 1825?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1825""    }","Perkins Manor (Contoocook, New Hampshire)"
"20","What was completed in 1838?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1838""    }","Wolverton railway works"
"21","What were completed in 1838?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1838""    }","Wolverton railway works"
"22","What was completed in 1851?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1851""    }","Manora Point Lighthouse"
"23","What were completed in 1851?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1851""    }","Manora Point Lighthouse"
"24","What was completed in 1882?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1882""    }","Palazzo Corpi"
"25","What were completed in 1882?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1882""    }","Palazzo Corpi"
"26","What was completed in 1883?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1883""    }","Eluanbi Lighthouse"
"27","What were completed in 1883?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1883""    }","Eluanbi Lighthouse"
"28","What was completed in 1887?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1887""    }","Cluj-Napoca Neolog Synagogue"
"29","What were completed in 1887?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1887""    }","Cluj-Napoca Neolog Synagogue"
"30","What was completed in 1892?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1892""    }","Town Hall, Coimbatore"
"31","What were completed in 1892?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1892""    }","Town Hall, Coimbatore"
"32","What was completed in 1895?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1895""    }","Tongue Point Light"
"33","What were completed in 1895?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1895""    }","Tongue Point Light"
"34","What was completed in 1900?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1900""    }","Tjong A Fie Mansion"
"35","What were completed in 1900?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1900""    }","Tjong A Fie Mansion"
"36","What was completed in 1908 (viaduct)?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1908 (viaduct)""    }","14th Street (Hoboken)"
"37","What were completed in 1908 (viaduct)?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1908 (viaduct)""    }","14th Street (Hoboken)"
"38","What was completed in 1910?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1910""    }","Weyburn Security Bank Building"
"39","What were completed in 1910?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1910""    }","Weyburn Security Bank Building"
"40","What was completed in 1912 (west tower)?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1912 (west tower)""    }","1333 H Street"
"41","What were completed in 1912 (west tower)?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1912 (west tower)""    }","1333 H Street"
"42","What was completed in 1915?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1915""    }","Marcus Hook Range Rear Light"
"43","What were completed in 1915?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1915""    }","Marcus Hook Range Rear Light"
"44","What was completed in 1916?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1916""    }","Winton Manor"
"45","What were completed in 1916?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1916""    }","Winton Manor"
"46","What was completed in 1920s?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1920s""    }","McMillans Road"
"47","What were completed in 1920s?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1920s""    }","McMillans Road"
"48","What was completed in 1921?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1921""    }","Hillsboro wireless tower"
"49","What were completed in 1921?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1921""    }","Hillsboro wireless tower"
"50","What was completed in 1922?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1922""    }","Yau Ma Tei Police Station"
"51","What were completed in 1922?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1922""    }","Yau Ma Tei Police Station"
"52","What was completed in 1923?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1923""    }","Press Herald Building"
"53","What were completed in 1923?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1923""    }","Press Herald Building"
"54","What was completed in 1924?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1924""    }","Wrigley Building"
"55","What were completed in 1924?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1924""    }","Wrigley Building"
"56","What was completed in 1925?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1925""    }","Palace of Marivent"
"57","What were completed in 1925?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1925""    }","Palace of Marivent"
"58","What was completed in 1926?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1926""    }","Villa Domergue"
"59","What were completed in 1926?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1926""    }","Villa Domergue"
"60","What was completed in 1927?","select  ?s    {   ?s <http://dbpedia.org/ontology/buildingEndDate>  ""1927""    }","Prombank Dormitory"
