id,questions,sparq,answer
0,Gib mir den Produzenten von Wechselstrommotor?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    },Saietta Group
1,Gib mir die Produzenten von Wechselstrommotor?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    },Saietta Group
2,Was ist der Produzent von Wechselstrommotor?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    },Saietta Group
3,Was sind die Produzenten von Wechselstrommotor?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    },Saietta Group
4,Was war der Produzent von Wechselstrommotor?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    },Saietta Group
5,Was waren die Produzenten von Wechselstrommotor?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    },Saietta Group
6,Welche Organisation ist der Produzent von Wechselstrommotor?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    },Saietta Group
7,Welche Organisation war der Produzent von Wechselstrommotor?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    },Saietta Group
8,Welche Organisationen sind die Produzenten von Wechselstrommotor?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    },Saietta Group
9,Welche Organisationen waren die Produzenten von Wechselstrommotor?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/AC_motor>    },Saietta Group
10,Gib mir den Produzenten von Lufia?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    },Natsume (company)
11,Gib mir die Produzenten von Lufia?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    },Natsume (company)
12,Was ist der Produzent von Lufia?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    },Natsume (company)
13,Was sind die Produzenten von Lufia?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    },Natsume (company)
14,Was war der Produzent von Lufia?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    },Natsume (company)
15,Was waren die Produzenten von Lufia?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    },Natsume (company)
16,Welche Organisation ist der Produzent von Lufia?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    },Natsume (company)
17,Welche Organisation war der Produzent von Lufia?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    },Natsume (company)
18,Welche Organisationen sind die Produzenten von Lufia?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    },Natsume (company)
19,Welche Organisationen waren die Produzenten von Lufia?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lufia>    },Natsume (company)
20,Gib mir den Produzenten von Bauholz?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    },PotlatchDeltic
21,Gib mir die Produzenten von Bauholz?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    },PotlatchDeltic
22,Was ist der Produzent von Bauholz?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    },PotlatchDeltic
23,Was sind die Produzenten von Bauholz?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    },PotlatchDeltic
24,Was war der Produzent von Bauholz?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    },PotlatchDeltic
25,Was waren die Produzenten von Bauholz?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    },PotlatchDeltic
26,Welche Organisation ist der Produzent von Bauholz?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    },PotlatchDeltic
27,Welche Organisation war der Produzent von Bauholz?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    },PotlatchDeltic
28,Welche Organisationen sind die Produzenten von Bauholz?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    },PotlatchDeltic
29,Welche Organisationen waren die Produzenten von Bauholz?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Lumber>    },PotlatchDeltic
30,Gib mir den Produzenten von Luxusgut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    },Standun
31,Gib mir die Produzenten von Luxusgut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    },Standun
32,Was ist der Produzent von Luxusgut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    },Standun
33,Was sind die Produzenten von Luxusgut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    },Standun
34,Was war der Produzent von Luxusgut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    },Standun
35,Was waren die Produzenten von Luxusgut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    },Standun
36,Welche Organisation ist der Produzent von Luxusgut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    },Standun
37,Welche Organisation war der Produzent von Luxusgut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    },Standun
38,Welche Organisationen sind die Produzenten von Luxusgut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    },Standun
39,Welche Organisationen waren die Produzenten von Luxusgut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Luxury_goods>    },Standun
40,Gib mir den Produzenten von M&M???s?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    },"Mars, Incorporated"
41,Gib mir die Produzenten von M&M???s?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    },"Mars, Incorporated"
42,Was ist der Produzent von M&M???s?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    },"Mars, Incorporated"
43,Was sind die Produzenten von M&M???s?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    },"Mars, Incorporated"
44,Was war der Produzent von M&M???s?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    },"Mars, Incorporated"
45,Was waren die Produzenten von M&M???s?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/M&M's>    },"Mars, Incorporated"
